"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","EVAP","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WDMV","WESD","WESF"
"US1KSRL0027","MANHATTAN 3.7 N, KS US","39.243138","-96.59228","322.8","2017-05-01",,,,"8.1",,,,,,,,
"US1KSRL0027","MANHATTAN 3.7 N, KS US","39.243138","-96.59228","322.8","2017-05-02",,,,"0.3",,,,,,,,
"US1KSRL0027","MANHATTAN 3.7 N, KS US","39.243138","-96.59228","322.8","2017-05-03",,,,"1.3",,,,,,,,
"US1KSRL0027","MANHATTAN 3.7 N, KS US","39.243138","-96.59228","322.8","2017-05-04",,,,"0.0",,,,,,,,
"US1KSRL0027","MANHATTAN 3.7 N, KS US","39.243138","-96.59228","322.8","2017-05-05",,,,"0.0",,,,,,,,
"US1KSRL0027","MANHATTAN 3.7 N, KS US","39.243138","-96.59228","322.8","2017-05-06",,,,"0.0",,,,,,,,
"US1KSRL0027","MANHATTAN 3.7 N, KS US","39.243138","-96.59228","322.8","2017-05-07",,,,"0.0",,,,,,,,
"US1KSRL0027","MANHATTAN 3.7 N, KS US","39.243138","-96.59228","322.8","2017-05-08",,,,"0.0",,,,,,,,
"US1KSRL0027","MANHATTAN 3.7 N, KS US","39.243138","-96.59228","322.8","2017-05-10",,,,"0.0",,,,,,,,
"US1KSRL0027","MANHATTAN 3.7 N, KS US","39.243138","-96.59228","322.8","2017-05-11",,,,"0.5",,,,,,,,
"US1KSRL0027","MANHATTAN 3.7 N, KS US","39.243138","-96.59228","322.8","2017-05-12",,,,"7.9",,,,,,,,
"US1KSRL0027","MANHATTAN 3.7 N, KS US","39.243138","-96.59228","322.8","2017-05-13",,,,"0.0",,,,,,,,
"US1KSRL0027","MANHATTAN 3.7 N, KS US","39.243138","-96.59228","322.8","2017-05-14",,,,"0.0",,,,,,,,
