year,calf_id,REDI_id,innoc_date,Week,sampling_date,shedding_fecal,CFU,nodeType
2017,1,681,NA,1,5/29/17,0,0,calf
2017,2,763,5/22/17,1,5/29/17,0,0,calf
2017,3,610,NA,1,5/29/17,0,0,calf
2017,4,671,NA,1,5/29/17,0,0,calf
2017,5,646,NA,1,5/29/17,0,0,calf
2017,6,690,NA,1,5/29/17,0,0,calf
2017,7,640,NA,1,5/29/17,0,0,calf
2017,8,633,NA,1,5/29/17,0,0,calf
2017,9,654,NA,1,5/29/17,0,0,calf
2017,10,760,NA,1,5/29/17,0,0,calf
2017,11,645,NA,1,5/29/17,0,0,calf
2017,12,700,NA,1,5/29/17,0,0,calf
2017,13,673,NA,1,5/29/17,0,0,calf
2017,14,630,NA,1,5/29/17,0,0,calf
2017,15,750,NA,1,5/29/17,0,0,calf
2017,16,688,NA,1,5/29/17,0,0,calf
2017,17,669,NA,1,5/29/17,0,0,calf
2017,18,674,NA,1,5/29/17,0,0,calf
2017,19,626,NA,1,5/29/17,0,0,calf
2017,20,751,NA,1,5/29/17,0,0,calf
2017,21,693,NA,1,5/29/17,0,0,calf
2017,22,660,5/22/17,1,5/29/17,0,0,calf
2017,23,637,5/22/17,1,5/29/17,0,0,calf
2017,24,614,NA,1,5/29/17,0,0,calf
2017,25,641,NA,1,5/29/17,0,0,calf
2017,26,647,NA,1,5/29/17,0,0,calf
2017,27,627,NA,1,5/29/17,0,0,calf
2017,28,682,NA,1,5/29/17,0,0,calf
2017,29,651,NA,1,5/29/17,0,0,calf
2017,30,644,NA,1,5/29/17,0,0,calf
2017,31,755,NA,1,5/29/17,1,0.7,calf
2017,32,761,5/22/17,1,5/29/17,0,0,calf
2017,33,757,NA,1,5/29/17,0,0,calf
2017,34,620,NA,1,5/29/17,0,0,calf
2017,35,634,NA,1,5/29/17,0,0,calf
2017,36,679,NA,1,5/29/17,0,0,calf
2017,37,663,NA,1,5/29/17,0,0,calf
2017,38,667,NA,1,5/29/17,1,0.7,calf
2017,39,615,NA,1,5/29/17,0,0,calf
2017,40,756/537,NA,1,5/29/17,0,0,calf
2017,41,754,NA,1,5/29/17,0,0,calf
2017,42,691,NA,1,5/29/17,NA,NA,calf
2017,43,619,NA,1,5/29/17,0,0,calf
2017,44,649,NA,1,5/29/17,0,0,calf
2017,45,670,NA,1,5/29/17,0,0,calf
2017,46,662,NA,1,5/29/17,0,0,calf
2017,47,652,NA,1,5/29/17,1,0.7,calf
2017,48,758,NA,1,5/29/17,0,0,calf
2017,49,762,NA,1,5/29/17,0,0,calf
2017,50,639,NA,1,5/29/17,0,0,calf
2017,51,668,NA,1,5/29/17,0,0,calf
2017,52,685,NA,1,5/29/17,0,0,calf
2017,53,659,NA,1,5/29/17,0,0,calf
2017,54,611,NA,1,5/29/17,0,0,calf
2017,55,629,NA,1,5/29/17,0,0,calf
2017,56,764,NA,1,5/29/17,0,0,calf
2017,57,665,NA,1,5/29/17,0,0,calf
2017,58,696,NA,1,5/29/17,0,0,calf
2017,59,770,NA,1,5/29/17,0,0,calf
2017,60,650,NA,1,5/29/17,1,2,calf
2017,61,655,NA,1,5/29/17,0,0,calf
2017,62,623,NA,1,5/29/17,0,0,calf
2017,63,677,NA,1,5/29/17,0,0,calf
2017,64,631,NA,1,5/29/17,0,0,calf
2017,65,692,NA,1,5/29/17,0,0,calf
2017,66,766,NA,1,5/29/17,0,0,calf
2017,67,748,NA,1,5/29/17,0,0,calf
2017,68,769,NA,1,5/29/17,0,0,calf
2017,69,680,NA,1,5/29/17,0,0,calf
2017,70,632,5/22/17,1,5/29/17,1,0.7,calf
2017,1,681,NA,2,6/5/17,1,2.3,calf
2017,2,763,5/22/17,2,6/5/17,0,0,calf
2017,3,610,NA,2,6/5/17,1,2.78,calf
2017,4,671,NA,2,6/5/17,0,0,calf
2017,5,646,NA,2,6/5/17,0,0,calf
2017,6,690,NA,2,6/5/17,1,0.7,calf
2017,7,640,NA,2,6/5/17,1,2.48,calf
2017,8,633,NA,2,6/5/17,0,0,calf
2017,9,654,NA,2,6/5/17,0,0,calf
2017,10,760,NA,2,6/5/17,0,0,calf
2017,11,645,NA,2,6/5/17,0,0,calf
2017,12,700,NA,2,6/5/17,0,0,calf
2017,13,673,NA,2,6/5/17,0,0,calf
2017,14,630,NA,2,6/5/17,1,2,calf
2017,15,750,NA,2,6/5/17,0,0,calf
2017,16,688,NA,2,6/5/17,1,2.9,calf
2017,17,669,NA,2,6/5/17,1,2,calf
2017,18,674,NA,2,6/5/17,0,0,calf
2017,19,626,NA,2,6/5/17,0,0,calf
2017,20,751,NA,2,6/5/17,1,2.85,calf
2017,21,693,NA,2,6/5/17,1,2.95,calf
2017,22,660,5/22/17,2,6/5/17,0,0,calf
2017,23,637,5/22/17,2,6/5/17,1,0.7,calf
2017,24,614,NA,2,6/5/17,0,0,calf
2017,25,641,NA,2,6/5/17,1,3.4,calf
2017,26,647,NA,2,6/5/17,0,0,calf
2017,27,627,NA,2,6/5/17,0,0,calf
2017,28,682,NA,2,6/5/17,0,0,calf
2017,29,651,NA,2,6/5/17,1,3,calf
2017,30,644,NA,2,6/5/17,0,0,calf
2017,31,755,NA,2,6/5/17,1,3.36,calf
2017,32,761,5/22/17,2,6/5/17,0,0,calf
2017,33,757,NA,2,6/5/17,0,0,calf
2017,34,620,NA,2,6/5/17,0,0,calf
2017,35,634,NA,2,6/5/17,1,3.46,calf
2017,36,679,NA,2,6/5/17,1,2.6,calf
2017,37,663,NA,2,6/5/17,1,2,calf
2017,38,667,NA,2,6/5/17,0,0,calf
2017,39,615,NA,2,6/5/17,0,0,calf
2017,40,756/537,NA,2,6/5/17,1,2.85,calf
2017,41,754,NA,2,6/5/17,1,2.3,calf
2017,42,691,NA,2,6/5/17,0,0,calf
2017,43,619,NA,2,6/5/17,1,0.7,calf
